game_id,name,boardgamedesigner,boardgameartist,yearpublished,minplayers,maxplayers,minage,playingtime,minplaytime,maxplaytime,boardgamepublisher,boardgamecategory,boardgamefamily,boardgamemechanic,AbstractGameRank_min,AbstractGameRank_min_date,AbstractGameRank_max,AbstractGameRank_max_date,first_date_in_ref,BoardGameRank_min,BoardGameRank_min_date,BoardGameRank_max,BoardGameRank_max_date,ChildrensGameRank_min,ChildrensGameRank_min_date,ChildrensGameRank_max,ChildrensGameRank_max_date,CustomizableRank_min,CustomizableRank_min_date,CustomizableRank_max,CustomizableRank_max_date,FamilyGameRank_min,FamilyGameRank_min_date,FamilyGameRank_max,FamilyGameRank_max_date,PartyGameRank_min,PartyGameRank_min_date,PartyGameRank_max,PartyGameRank_max_date,StrategyGameRank_min,StrategyGameRank_min_date,StrategyGameRank_max,StrategyGameRank_max_date,ThematicRank_min,ThematicRank_min_date,ThematicRank_max,ThematicRank_max_date,WarGameRank_min,WarGameRank_min_date,WarGameRank_max,WarGameRank_max_date,bgg_url
108745,Seasons,['Régis Bonnessée'],"['Régis Bonnessée', 'Xavier Gueniffey Durin', 'Stéphane Gantiez']",2012,2,4,14,60,60,60,"['Libellud', 'Asterion Press', 'CrowD Games', 'Gém Klub Kft.', 'Hobby Japan', 'Rebel Sp. z o.o.', 'SD Games', 'sternenschimmermeer', 'Swan Panasia Co., Ltd.']","['Card Game', 'Fantasy']","['Components: Dice with Icons', 'Creatures: Fairies / Elves / Pixies', 'Digital Implementations: Board Game Arena', 'Game: Seasons', 'Mechanism: Dice Drafting', 'Mechanism: Tableau Building', 'Setting: Kingdom of Xidit']","['Closed Drafting', 'Dice Rolling', 'Hand Management', 'Open Drafting', 'Take That', 'Victory Points as a Resource']",,,,,2018-10-06,165,2018-10-06,280,2023-09-02,,,,,,,,,,,,,,,,,127,2018-10-27,220,2023-09-02,,,,,,,,,https://boardgamegeek.com/boardgame/108745
206718,Ethnos,['Paolo Mori'],['John Howe'],2017,2,6,14,60,45,60,"['CMON Global Limited', 'Asterion Press', 'BoardM Factory', 'Conclave Editora', 'Delta Vision Publishing', 'Edge Entertainment', 'Lavka Games', 'Portal Games', 'REXhry', 'Spaghetti Western Games', 'Нескучные игры', '株式会社ケンビル (KenBill)']",['Fantasy'],"['Components: Map (Continental / National scale)', 'Creatures: Minotaurs', 'Creatures: Trolls']","['Area Majority / Influence', 'Hand Management', 'Open Drafting', 'Push Your Luck', 'Set Collection']",,,,,2018-10-06,223,2019-06-01,281,2023-09-02,,,,,,,,,38,2021-02-13,38,2021-02-13,,,,,148,2018-10-06,201,2023-07-08,,,,,,,,,https://boardgamegeek.com/boardgame/206718
311193,Anno 1800,['Martin Wallace'],['Fiore GmbH'],2020,2,4,12,120,120,120,"['KOSMOS', '999 Games', 'Devir', 'Galakta', 'Giochi Uniti', 'IELLO', 'Zvezda']","['Card Game', 'City Building', 'Economic', 'Industry / Manufacturing', 'Video Game Theme']",['History: Industrial Revolution'],"['End Game Bonuses', 'Hand Management', 'Race', 'Tech Trees / Tech Tracks', 'Variable Set-up']",,,,,2020-11-07,282,2023-09-02,3591,2020-11-07,,,,,,,,,,,,,,,,,174,2023-07-15,570,2021-07-03,,,,,,,,,https://boardgamegeek.com/boardgame/311193
176734,The Manhattan Project: Energy Empire,"['Tom Jolly', 'Luke Laurie']","['Josh Cappel', 'Jeffrey Edwards']",2016,1,5,13,120,60,120,"['Minion Games', 'Do it games', 'Playfun Games']","['Civilization', 'Dice', 'Economic', 'Environmental', 'Industry / Manufacturing']","['Crowdfunding: Kickstarter', 'Digital Implementations: BoardGamePlay', 'Game: The Manhattan Project', 'Mechanism: Tableau Building', 'Players: Games with Solitaire Rules', 'Theme: Retro']","['Dice Rolling', 'Die Icon Resolution', 'End Game Bonuses', 'Events', 'Variable Player Powers', 'Worker Placement', 'Worker Placement, Different Worker Types']",,,,,2018-10-06,199,2018-10-20,283,2023-09-02,,,,,,,,,,,,,,,,,114,2018-11-17,172,2023-09-02,,,,,,,,,https://boardgamegeek.com/boardgame/176734
24181,Imperial,['Mac Gerdts'],['Matthias Catrein'],2006,2,6,13,180,120,180,"['PD-Verlag', 'eggertspiele', 'Rio Grande Games']","['Economic', 'Nautical', 'Political']","['Category: Combinatorial', 'Continents: Europe', 'Series: Rondel (Mac Gerdts)']","['Advantage Token', 'Area Majority / Influence', 'Area Movement', 'Investment', 'Ownership', 'Rondel', 'Stock Holding']",,,,,2018-10-06,145,2018-10-06,284,2023-09-02,,,,,,,,,,,,,,,,,99,2018-10-06,187,2023-09-02,,,,,,,,,https://boardgamegeek.com/boardgame/24181
246784,Cryptid,"['Hal Duncan', 'Ruth Veevers']",['Kwanchai Moriya'],2018,3,5,10,50,30,50,"['Osprey Games', '17wanzy (Yihu BG)', 'Do it games', 'Fabrika Igr', 'Jelly Jelly Games', 'Lucrum Games', 'Ludofy Creative', 'Origames', 'Playagame Edizioni', 'Skellig Games', 'sternenschimmermeer']",['Deduction'],"['Creatures: Monsters', 'Misc: LongPack Games', 'Theme: Cryptids']","['Deduction', 'Hexagon Grid', 'Modular Board', 'Pattern Recognition']",,,,,2018-11-09,263,2020-12-26,1842,2018-11-09,,,,,,,,,32,2020-02-22,218,2018-12-15,,,,,170,2020-07-04,568,2018-12-15,,,,,,,,,https://boardgamegeek.com/boardgame/246784
2655,Hive,['John Yianni'],['John Yianni'],2000,2,2,9,20,20,20,"['Gen42 Games', 'Asmodee', 'Crómola', 'G3', 'Ghenos Games', 'Gigamic', 'HUCH!', 'Jolly Thinkers', 'Ludicus', 'Magellan', 'Oficina do Aprendiz', 'Productief BV', 'Reflexshop', 'Smart Zone Games', 'Tantrix UK Ltd.', 'uplay.it edizioni', 'Vendetta', 'Wargames Club Publishing', 'Zhiyanjia']","['Abstract Strategy', 'Animals']","['Animals: Ants', 'Animals: Bees', 'Animals: Grasshoppers', 'Animals: Insects', 'Animals: Spiders', 'Category: Combinatorial', 'Containers: Unique Shape', 'Containers: Zippered Pouch', 'Digital Implementations: Board Game Arena', 'Digital Implementations: BoardSpace', 'Digital Implementations: Steam', 'Game: Hive', 'Misc: Mensa Select', 'Players: Two Player Only Games', 'Theme: Nature']","['Enclosure', 'Grid Movement', 'Hexagon Grid', 'Pattern Movement', 'Pieces as Map', 'Score-and-Reset Game', 'Three Dimensional Movement', 'Tile Placement']",10,2018-10-06,19,2022-10-08,2018-10-06,202,2019-01-05,286,2023-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://boardgamegeek.com/boardgame/2655
155873,Power Grid Deluxe: Europe/North America,['Friedemann Friese'],['Harald Lieske'],2014,2,6,12,120,120,120,"['2F-Spiele', '999 Games', 'Arclight Games', 'Edge Entertainment', 'Giochi Uniti', 'Ideal Board Games', 'Lautapelit.fi', 'Rio Grande Games']","['Economic', 'Industry / Manufacturing']","['Continents: Europe', 'Continents: North America', 'Game: Power Grid']","['Auction: Turn Order Until Pass', 'Catch the Leader', 'Income', 'Market', 'Network and Route Building', 'Turn Order: Stat-Based']",,,,,2018-10-06,150,2018-11-03,287,2023-09-02,,,,,,,,,,,,,,,,,78,2018-10-06,162,2023-09-02,,,,,,,,,https://boardgamegeek.com/boardgame/155873
66589,Navegador,['Mac Gerdts'],"['Marina Fahrenbach', 'Mac Gerdts']",2010,2,5,12,90,60,90,"['PD-Verlag', 'Cranio Creations', 'Ediciones MasQueOca', 'The Game Master BV', 'New Games Order, LLC', 'Rio Grande Games', 'Ystari Games']","['Economic', 'Exploration', 'Nautical', 'Renaissance']","['Components: Map (Global Scale)', 'Components: Wooden pieces & boards', 'Country: Portugal', 'Digital Implementations: Yucata', 'Game: Navegador', 'History: Age of Discovery', 'Region: The World', 'Series: Rondel (Mac Gerdts)', 'Theme: Colonial']","['Advantage Token', 'Area Movement', 'Market', 'Rondel']",,,,,2018-10-06,174,2018-10-06,288,2023-09-02,,,,,,,,,,,,,,,,,111,2018-10-06,195,2023-09-02,,,,,,,,,https://boardgamegeek.com/boardgame/66589
332772,Revive,"['Helge Meissner', 'Eilif Svensson', 'Anna Wermlund', 'Kristian Amundsen Østby']","['Gjermund Bohne', 'Martin Mottet', 'Dan Roff']",2022,1,4,14,120,90,120,"['Aporta Games', 'BGA Plus', 'Boardgame Mall', 'Devir', 'Gém Klub Kft.', 'Ghenos Games', 'Hobby Japan', 'Lifestyle Boardgames Ltd', 'Matagot', 'MINDOK', 'Pegasus Spiele', 'Rebel Sp. z o.o.', ""Surfin' Meeple China""]","['Civilization', 'Industry / Manufacturing']","['Components: Multi-Use Cards', 'Mechanism: Campaign Games']","['Deck, Bag, and Pool Building', 'Scenario / Mission / Campaign Game', 'Tech Trees / Tech Tracks', 'Variable Player Powers']",,,,,2022-10-22,289,2023-09-02,3916,2022-10-22,,,,,,,,,,,,,,,,,143,2023-09-02,714,2022-12-24,,,,,,,,,https://boardgamegeek.com/boardgame/332772
